,loss,accuracy,categorical_accuracy,mean_absolute_error,mean_squared_error,precision,recall
0,2.512831211090088,0.14465725421905518,0.14465725421905518,0.14075294137001038,0.07017006725072861,0.0,0.0
1,2.445067882537842,0.17540322244167328,0.17540322244167328,0.13943704962730408,0.06896436959505081,0.0,0.0
2,2.3929758071899414,0.2051411271095276,0.2051411271095276,0.1382460743188858,0.06794002652168274,1.0,0.0005040322430431843
3,2.3356881141662598,0.25756049156188965,0.25756049156188965,0.13671816885471344,0.06669653207063675,1.0,0.00856854859739542
4,2.2891182899475098,0.30141130089759827,0.30141130089759827,0.1353192776441574,0.06564384698867798,1.0,0.020665323361754417
5,2.2342042922973633,0.3432459533214569,0.3432459533214569,0.133646622300148,0.06439492106437683,1.0,0.02822580561041832
6,2.1784207820892334,0.36693549156188965,0.36693549156188965,0.13171379268169403,0.06297694146633148,1.0,0.03931451588869095
7,2.124992609024048,0.3896169364452362,0.3896169364452362,0.1294720619916916,0.06149996072053909,1.0,0.05292338877916336
8,2.071108341217041,0.39818549156188965,0.39818549156188965,0.1274285465478897,0.06005238741636276,1.0,0.06451612710952759
9,2.017038583755493,0.41431450843811035,0.41431450843811035,0.12500782310962677,0.05851326882839203,0.9946523904800415,0.09375
10,1.9601808786392212,0.4400201737880707,0.4400201737880707,0.12224743515253067,0.05688945949077606,0.9958506226539612,0.12096773833036423
11,1.917531132698059,0.45766130089759827,0.45766130089759827,0.12016169726848602,0.055724725127220154,1.0,0.14868952333927155
12,1.8675787448883057,0.47580644488334656,0.47580644488334656,0.11792708188295364,0.05445341393351555,0.9940119981765747,0.16733871400356293
13,1.8197059631347656,0.4884072542190552,0.4884072542190552,0.1157681941986084,0.053265027701854706,0.9867021441459656,0.1869959682226181
14,1.7822502851486206,0.5090726017951965,0.5090726017951965,0.11411706358194351,0.05241265520453453,0.984886646270752,0.19707661867141724
15,1.7302581071853638,0.5327621102333069,0.5327621102333069,0.11183333396911621,0.051160261034965515,0.9884259104728699,0.21522177755832672
16,1.6912992000579834,0.5453628897666931,0.5453628897666931,0.11021579802036285,0.05024620145559311,0.9826086759567261,0.22782258689403534
17,1.6431759595870972,0.5645161271095276,0.5645161271095276,0.10854509472846985,0.04926936328411102,0.9766949415206909,0.2323588728904724
18,1.591866135597229,0.5856854915618896,0.5856854915618896,0.1063980981707573,0.04804214835166931,0.9774590134620667,0.24042338132858276
19,1.53936767578125,0.6028226017951965,0.6028226017951965,0.10451295226812363,0.046773407608270645,0.9820716977119446,0.2484879046678543
20,1.4817845821380615,0.625,0.625,0.102169468998909,0.04530281201004982,0.980879545211792,0.25856855511665344
21,1.438194990158081,0.6451612710952759,0.6451612710952759,0.10055136680603027,0.04431398585438728,0.9695237874984741,0.25655242800712585
22,1.3881125450134277,0.6688507795333862,0.6688507795333862,0.09855224937200546,0.04295159876346588,0.973634660243988,0.26058468222618103
23,1.3354439735412598,0.6890121102333069,0.6890121102333069,0.09626569598913193,0.04145059362053871,0.9834558963775635,0.2696572542190552
24,1.275652527809143,0.7096773982048035,0.7096773982048035,0.0935879573225975,0.03960384055972099,0.9826086759567261,0.2847782373428345
25,1.227259635925293,0.7167338728904724,0.7167338728904724,0.09123717993497849,0.0381542332470417,0.9835255146026611,0.3009072542190552
26,1.1545926332473755,0.7323588728904724,0.7323588728904724,0.08732102066278458,0.035726018249988556,0.9824561476707458,0.33870968222618103
27,1.11564302444458,0.7409273982048035,0.7409273982048035,0.08500771969556808,0.034413132816553116,0.9896103739738464,0.38407257199287415
28,1.0727263689041138,0.7545362710952759,0.7545362710952759,0.08258277177810669,0.03313217684626579,0.9781287908554077,0.4057459533214569
29,1.0246326923370361,0.7636088728904724,0.7636088728904724,0.07955509424209595,0.031570471823215485,0.9806867241859436,0.46068549156188965
30,0.9920764565467834,0.7631048560142517,0.7631048560142517,0.07758118957281113,0.03055756725370884,0.9824742078781128,0.4803427457809448
31,0.9455711245536804,0.7787298560142517,0.7787298560142517,0.0744791328907013,0.028904611244797707,0.9848341345787048,0.5236895084381104
32,0.8959523439407349,0.7822580933570862,0.7822580933570862,0.07109842449426651,0.02730465866625309,0.9876760840415955,0.5655242204666138
33,0.8520812392234802,0.8009072542190552,0.8009072542190552,0.06839955598115921,0.025921758264303207,0.9856781959533691,0.5897177457809448
34,0.8217288851737976,0.8049395084381104,0.8049395084381104,0.06656079739332199,0.02513376623392105,0.9762684106826782,0.6013104915618896
35,0.7932953834533691,0.8094757795333862,0.8094757795333862,0.06447214633226395,0.02420378476381302,0.9811468720436096,0.6295362710952759
36,0.7507562041282654,0.8235887289047241,0.8235887289047241,0.061566613614559174,0.022747237235307693,0.982758641242981,0.6607862710952759
37,0.7127024531364441,0.8336693644523621,0.8336693644523621,0.05920930951833725,0.02177422121167183,0.9777283072471619,0.6638104915618896
38,0.6752065420150757,0.8392137289047241,0.8392137289047241,0.05671466514468193,0.020493734627962112,0.9862518310546875,0.6869959831237793
39,0.6590163707733154,0.8356854915618896,0.8356854915618896,0.05553204193711281,0.020234230905771255,0.9777458906173706,0.6864919066429138
40,0.6463065147399902,0.8472782373428345,0.8472782373428345,0.05461908131837845,0.019886471331119537,0.9776978492736816,0.6849798560142517
41,0.6069226861000061,0.8558467626571655,0.8558467626571655,0.05208234116435051,0.018610669299960136,0.9782460927963257,0.7253023982048035
42,0.5992630124092102,0.8578628897666931,0.8578628897666931,0.051347263157367706,0.01843118853867054,0.9748470187187195,0.7227822542190552
43,0.5556853413581848,0.866431474685669,0.866431474685669,0.04829835891723633,0.016959531232714653,0.9771540760993958,0.7545362710952759
44,0.5374690294265747,0.8613911271095276,0.8613911271095276,0.04682967811822891,0.0165360476821661,0.9743425250053406,0.765625
45,0.5309749245643616,0.8674395084381104,0.8674395084381104,0.04676061496138573,0.01638430543243885,0.9766688346862793,0.7595766186714172
46,0.48458418250083923,0.883568525314331,0.883568525314331,0.04307747632265091,0.014846591278910637,0.9811439514160156,0.7867943644523621
47,0.473631352186203,0.8785282373428345,0.8785282373428345,0.042519062757492065,0.014572656713426113,0.9781795740127563,0.7908266186714172
48,0.45972010493278503,0.8810483813285828,0.8810483813285828,0.04156319424510002,0.014253025874495506,0.979490339756012,0.7943548560142517
49,0.43650105595588684,0.8961693644523621,0.8961693644523621,0.04001116007566452,0.013408389873802662,0.9857849478721619,0.803931474685669
50,0.4173029065132141,0.8941532373428345,0.8941532373428345,0.03872368112206459,0.012971457093954086,0.9798780679702759,0.8099798560142517
51,0.41012248396873474,0.8936492204666138,0.8936492204666138,0.037999171763658524,0.012792940251529217,0.9793689250946045,0.8135080933570862
52,0.38840049505233765,0.9057459831237793,0.9057459831237793,0.03660646453499794,0.01205395720899105,0.9813925623893738,0.8240927457809448
53,0.3818588852882385,0.9082661271095276,0.9082661271095276,0.03606291115283966,0.012011359445750713,0.9796772003173828,0.8261088728904724
54,0.3591374456882477,0.9173387289047241,0.9173387289047241,0.034387439489364624,0.011158578097820282,0.9839762449264526,0.8356854915618896
55,0.35375237464904785,0.9203628897666931,0.9203628897666931,0.03410942107439041,0.011117632500827312,0.9792776703834534,0.8336693644523621
56,0.34180575609207153,0.9274193644523621,0.9274193644523621,0.033197689801454544,0.01072659995406866,0.9818925261497498,0.8472782373428345
57,0.3187055289745331,0.928931474685669,0.928931474685669,0.03169577941298485,0.010025746189057827,0.9848219752311707,0.8503023982048035
58,0.3209921717643738,0.9284273982048035,0.9284273982048035,0.03175773471593857,0.010257197543978691,0.9802440404891968,0.8503023982048035
59,0.2970951497554779,0.9410282373428345,0.9410282373428345,0.02987835928797722,0.009240727871656418,0.986214816570282,0.8654233813285828
60,0.2855752408504486,0.9354838728904724,0.9354838728904724,0.028618255630135536,0.008859716355800629,0.9879171252250671,0.8654233813285828
61,0.2751547694206238,0.9440523982048035,0.9440523982048035,0.028163960203528404,0.008693181909620762,0.9797411561012268,0.8775201439857483
62,0.26705506443977356,0.9506048560142517,0.9506048560142517,0.02748451568186283,0.00831218808889389,0.9880884885787964,0.8780242204666138
63,0.24997709691524506,0.9506048560142517,0.9506048560142517,0.02585022710263729,0.00767867686226964,0.9899103045463562,0.8901209831237793
64,0.24460092186927795,0.953125,0.953125,0.025507960468530655,0.007566626183688641,0.9860646724700928,0.8916330933570862
65,0.23286721110343933,0.9526209831237793,0.9526209831237793,0.02452312782406807,0.007237204350531101,0.9856194853782654,0.8981854915618896
66,0.23049402236938477,0.9571572542190552,0.9571572542190552,0.024168260395526886,0.0071244267746806145,0.9824272394180298,0.9017137289047241
67,0.22143910825252533,0.9571572542190552,0.9571572542190552,0.023477423936128616,0.006721312180161476,0.9900935888290405,0.9067540168762207
